OBJECTID,SITE_NO,WIFI,SITENAME_EN,ADDRESS_EN,ACCESSHOURS_EN,COMPUTERS,ACCESSIBLECOMPUTERS,ACCESSCRITERIA_EN,LOCATIONTYPE_EN,LOCATIONTYPE_FR,SITENAME_FR,ADDRESS_FR,ACCESSHOURS_FR,ACCESSCRITERIA_FR,URL_EN,URL_FR,lat,lng
11,61,wifi,Employment Ontario / La Cité,240 Centrum Boulevard,Mon-Fri 8:30-4:00,12,0,sign-in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Emploi Ontario / La Cite,"240, boul. Centrum",lundi-vendredi 8h30-16h,avec inscription,http://www.eoon.ca/cite-collegiale.php,http://www.eoon.ca/fr/cite-collegiale.php,45.4796375,-75.5113182
12,62, ,Northern Lights Canada,"1900 City Park Drive, Suite 100","8:30-4:30 Mon-Fri, Wed 8:30-7. (Hours subject to change)",8,0,sign-in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Northern Lights Canada,"1900 , promenade City Park , bureau 100","8h30-16h30 lundi-vendredi, mercredi 8h30-19h.  (Les heures peuvent être modifiées.)",avec inscription,http://www.northernlightscanada.ca/our-locations/ottawa/contact-us,http://www.northernlightscanada.ca/fr/our-locations/ottawa/contactez-nous,45.4285247,-75.6148544
13,64, ,St-Lawrence College Employment Service,"71 Bank Street, 5th floor","Mon-Fri 8:30-4, Tues 8:30-6",12,0,sign-in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,St Lawrence Colle Service d'Emploi,"71, rue Bank, 5e étage","lundi-vendredi 8h30-16h, mardi 8h30-18h",avec inscription,http://www.employmentservice.sl.on.ca/contact-us/,http://www.employmentservice.sl.on.ca/contact-us/?Location=12,45.4209293,-75.7008791
14,65, ,Vanier Community Service Centre,"270 Marier Avenue, 2nd Floor","Mon-Fri (summer) 8:30-4, Wed 8:30-7, Mon-Wed (regular) 8:30-4:30",10,0,sign in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Centre des Services Communautaires Vanier,"270, av Marier 2ème étage","lundi-vendredi (ete) 8h30-16h, mercredi 8h30-19h, lundi-mercredi (regulier) 8h30-16h30",avec inscription,http://www.eoon.ca/vanier.php,http://www.eoon.ca/fr/vanier.php,45.4365324,-75.6617652
15,66, ,Y Employment Access Centre,"1642 Merivale Road, 2nd floor","Mon: 8:30-7, Tuesday-Thursday: 8:30-4:30, Friday: 8:30-4",12,0,sign-in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Services d'Emploi YMCA,"1642 , chemin Merivale , 2ème étage","lundi: 8h30-19h, mardi-jeudi: 8h30-16h30, vendredi: 8h30-16h",avec inscription,http://www.ymcaywca.ca/Locations/Y+Employment+Access+Centre+-+Merivale+Road/,http://www.ymcaywca.ca/endroit/Centres+d+acces+en+emploi+du+Y+-+rue+Merivale/,45.3455052,-75.7317207
16,67, ,Y Employment Access Centre,"180 Argyle Avenue, 4th floor","Mon-Wed: 8:30-4:30, Thurs: 8:30-7, Fri: 8:30-4",16,0,sign-in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Services d'Emploi YMCA,"180 , avenue Argyle , 4ème étage","lundi-mercredi: 8h30-16h30, jeudi: 8h30-19h, vendredi: 8h30-16h",avec inscription,http://www.ymcaywca.ca/Locations/Y+Employment+Access+Centre+-+Argyle+Avenue/,http://www.ymcaywca.ca/endroit/Centres+d+acces+en+emploi+du+Y+-+avenue+Argyle/,45.4111819,-75.689294
17,68, ,Youth Services Bureau,"1355 Bank Street, Suite 703",Mon-Fri:8:30-4:20,4,0,sign-in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Bureau Services des Jeunes,"1355, rue Bank, bureau 703",lundi-vendredi:8:30-4:20,avec inscription,http://www.eoon.ca/ysb.php,http://www.eoon.ca/fr/ysb.php,45.3880025,-75.675122
18,69, ,City of Ottawa Youth Zone Jeunesse,"370 Catherine Street, 1st Floor","Summer Mon-Fri 8-4, Regular Mon-Fri 8:30-4:30",16,0,sign-in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Ville d'Ottawa Zone Jeunesse,"370, rue Catherine , 1er étage","ete lundi-vendredi 8h-16h, regulier lundi-vendredi 8h30-16h30",avec inscription,http://ottawa.ca/en/youth-zone-resource-center,http://ottawa.ca/fr/residents/services-sociaux/zone-jeunesse/centre-de-ressources-demploi-zone-jeunesse,45.4071597,-75.697637
19,70, ,Foster Farm Family House,1085 Ramsey Cres Unit 334,"Mon: 10-2, Tues & Thurs: 9:30-11:30, Fri: 9-2. (Hours subject to change)",6,0,sign-in,E. Community Houses,E. Maisons communautaires,Foster Farm Family House,1085 Ramsey Cres Unité 334,"lundi: 10h - 14h, mardi & jeudi: 9h30-11h30, vendredi: 9h - 14h.  (Les heures peuvent être modifiées.)",avec inscription,http://www.pqchc.com/community-health/foster-farm/,http://www.pqchc.com/fr/sante-communautaire/foster-farm/,45.3487076,-75.7946666
20,1, ,Community & Social Support Centre,"370 Catherine Street, 2nd Floor","Monday-Friday. 8am-4pm summer, 8am-4:30pm winter",3,1,Employment Resource Area card (free),A. City Community and Social Supports Centres,A. Centres de services sociaux,Centres de services sociaux,"370, rue Catherine, bureau 100, 2ème étage","lundi-vendredi. 8 h-4 h ete, 8 h-16h30 hiver",Sections de ressources à l’emploi (libre),n/a,indisponible,45.4071597,-75.697637
